customer,name,address,geometry
    172402,PUBLIX #402,1400 E HALLANDALE BEACH BLVD,"(25.9847355, -80.133567)"
    685894,BRASCOM CORPORATION,583 FAIR VILLA RD,"(38.175295, -85.584549)"
   1721429,PUBLIX #1429,9420 SW 56 ST,"(29.2468294, -82.945804)"
    191649,WAL-MART #649,3175 CHENEY HWY,"(28.5552853, -80.84277144130363)"
    340074,PRICE CHOICE #8,4500 NW 183 RD ST,"(52.731283, 15.23555)"
  136003KF,# 4309 SABOR TROPICAL SUPERMARKET #3,28945 S DIXIE HIGHWAY,"(25.7082689, -80.2847107)"
    709428,REST DEPOT #428,1280 COMMERCE ROAD,"(33.984793, -83.3764157)"
    172293,PUBLIX #293,13735 SW 152ND ST,"(25.6275544, -80.4157711)"
    709016,JETRO CASH & CARRY #16,700 PATTISON AVE STE 2,"(None, None)"
  860680KF,#4346 - KEY FOOD ROCKLEDGE,920 BARTON BLVD,"(28.330860910137968, -80.74016890395943)"
    701004,COMPARE FOOD ARROWOOD,818 E ARROWOOD,"(35.1356103, -80.8782927)"
   1915402,WAL-MART #5402,4650 W. NORTH AVENUE,"(41.91171955, -87.74282170158895)"
    203100,NAVARRO DISTRIBUTOR,201 W. 28 STREET,"(40.0880219, -85.7126968)"
     11755,KEY FOOD #2258 (C),1188 FLATBUSH AVE,"(40.6411736, -73.956753)"
     11156,MARKET FRESH #671,690 MAIN ST,"(34.0194767, -87.76381271627675)"
     12440,COMPARE FOODS,245 BEACH 20TH ST,"(40.5999225, -73.7539664)"
   1721571,PUBLIX #1571,8455 NW 53RD TERR,"(25.8221128, -80.33514888856487)"
    172303,PUBLIX #303,170 S FLAMINGO RD,"(26.005905, -80.314269)"
    133034,NAVARRO/CVS #34 (10724),2552 NE 10th CT,"(25.4790288, -80.4407965)"
    958516,COLONIAL FARMER'S MARKET,6249 W COLONIAL DR,"(28.552254, -81.46692340624999)"
   1911340,WAL-MART #1340,5401 FAIRINGTON RD,"(33.700533, -84.166977)"
   1911892,WAL-MART #1892,9450 JOLIET ROAD,"(41.777559749999995, -87.86329025340771)"
    193459,"DISIMCA EXPORT, LLC",8229 NARCOOSSEE PARK DR STE 316,"(None, None)"
    172223,PUBLIX #223,14601 S DIXIE HWY,"(25.6340588, -80.3365803)"
    172069,PUBLIX #69,13820 SW 88TH ST,"(25.6841762, -80.4192575)"
   1913817,WAL-MART #3817,433 S AVALON PARK BLVD,"(28.5279008, -81.1497364)"
    410001,JEWEL WAREHOUSE,1955 W North Ave,"(41.91058261367356, -87.67657346417927)"
    17724B,C-TOWN,606 MAIN AVE,"(30.09220657142857, -93.73455544897959)"
   1721554,PUBLIX #1554,1740 POLK STREET,"(37.7929424, -122.421042)"
     90122,CERMAK PRODUCE - CERMAK (NEW),4605 W. CERMAK ROAD,"(41.8505619, -87.7403494)"
    859110,LATINOS SUPERMARKET BRANDON,131 N MOUNT CARMEL RD,"(33.4580675449762, -84.24894995981347)"
   1721284,PUBLIX #1284,3253 SW PORT ST LUCIE BLVD,"(27.24761835, -80.37590545687561)"
     91244,LA CUENCANTIA INC,46329 GALAXY AVE,"(45.619861914572866, -92.98643606532664)"
     28399,KEY FOOD #2312 (C),651 N STILES ST,"(40.62676763265306, -74.26693757142857)"
   1912142,WALMART #2142 VEND#251893921,326 N BROADWAY,"(42.8012434, -71.2387357)"
   1721561,PUBLIX #1561,1420 NW NORTH RIVER DR,"(25.785386, -80.219868)"
   1721834,PUBLIX #1834,1285 N UNIVERSITY DR,"(26.2459472, -80.2515884)"
   1922474,WINN DIXIE #2474,61 BELL BKVD NORTH,"(None, None)"
   1915451,WAL-MART #5451,3920 SKYLINE BLVD.,"(26.5789259, -81.99195363813192)"
    172645,PUBLIX #645,8101 W SUNRISE BLVD,"(26.149225700000002, -80.25902879306537)"
   1914148,WAL-MART #4148,8800 EAST W T HARRIS BLVD,"(35.2008611, -80.727358537388)"
     18402,KRM SUPERMARKET,1325 39TH ST,"(40.640421700000005, -73.98544220714805)"
     30006,KEY FOOD #2602 (C),2325 ELIZABETH AVE,"(40.615213565714285, -74.26869862857143)"
    172657,PUBLIX #657,16800 SW 88TH ST,"(25.6828404, -80.4646178)"
    686978,LA PERRADA DEL GORDO #1,2650 S MILITARY TRAIL; #17,"(26.317544062268116, -80.12839929990976)"
    172509,PUBLIX #509,12500 W SUNRISE BLVD,"(26.1442313, -80.3156817)"
    112169,SHOPRITE #169,40 NATHANIEL PL,"(40.896686700000004, -73.97556996112452)"
   1913347,WAL-MART #3347,7450 CYPRESS GARDENS BLVD,"(27.9772428, -81.6490575)"
   1721151,PUBLIX #1151,8680 SW 24TH ST,"(25.7459413, -80.3349665)"
    133003,NAVARRO/CVS #3 (10698),1243 SW 8TH ST,"(25.7661374, -80.2154605)"
    287412,"LATINOS SM, LLC",1746 W HILLSBORO BLVD,"(26.3168927, -80.1278313)"
     70019,FARMERS MARKET BOGOPA,345 HUNTINGTON TPK,"(41.2144684, -73.175502)"
   1335466,NAVARRO/CVS #5466,1230 WEST 29TH ST,"(34.02812995, -118.28733873008676)"
    860185,ROWE'S IGA VIII,1012 EDGEWOOD AVE N,"(30.3370331, -81.731072)"
     26345,PEMA MEAT MARKET,240 SOUTH MORRIS ST,"(42.9172736122449, -89.20814436734693)"
   1721311,PUBLIX #1311,2201 N UNIVERSITY DR,"(26.2584207, -80.2480506)"
    860682,IDEAL FOOD BASKET,1040 E SAMPLE RD,"(39.25971287939871, -86.51049917159439)"
    947555,MEP FOOD,5835 MEMORIAL HWY STE 4,"(None, None)"
   1921690,HARVEYS #1690,5909 UNIVERSITY BLVD W,"(30.2768353, -81.6048874)"
   1916398,WAL-MART # 6398,1569 SAXON BLVD,"(28.90677005, -81.24527174485173)"
    133026,NAVARRO/CVS #26 (10716),2399 W 52 ST,"(39.03511, -94.594906)"
   1912916,WAL-MART #2916 V#251893921,2465 HEMPSTEAD TPKE,"(40.7268389, -73.54372898643432)"
    727410,COLLINS CORR. FAC. COMM #1,TAYLOR HOLLOW RD,"(37.212945, -80.331962)"
    172588,PUBLIX #588,4260 SW 152ND AVE,"(25.7268832, -80.4409974)"
    172674,PUBLIX #674,18409 MIRAMAR PKWY,"(25.9799919, -80.3926976)"
     14029,SUPER SUPERMARKET,408 HALEDON AVE,"(40.937276849416506, -74.1812025247461)"
     70180,FOOD ZONE,355 BELMONT AVE,"(42.088416800000005, -72.56446932244188)"
     90621,PETE'S FRESH MARKET - BRIDGEVIEW,10280 S. HARLEM AVENUE,"(41.7996659, -87.8017836)"
     26539,STOP & SHOP #2586,625 ATLANTIC AVE STE A4,"(None, None)"
     30070,KEY FOOD #2156 (C),148 E BURNSIDE AVE,"(40.85227155, -73.9045053088883)"
    711318,DTR DISTRIBUTION INC,3069 MCCALL DR,"(33.89839622128351, -84.25738596766863)"
   1911373,WAL-MART #1373,4004 LAWRENCEVILLE HWY NW,"(33.8522282, -83.9034004)"
   1914444,WAL-MART #4444,10251 SHOPS LN,"(37.779961, -121.2308665)"
   1915704,WAL-MART #5704,3045 SW PORT ST LUCIE BLVD,"(27.25239105, -80.37511116350981)"
   1913617,WAL-MART #3617,600 S ALAFAYA TRAIL,"(28.5246707, -81.1990217)"
   1913621,WAL-MART #3621,1871 CHAMBLEE TUCKER RD,"(33.8885263, -84.31140844431721)"
    191494,WAL-MART #494,1025 BULLSBORO DR,"(33.395768, -84.7609522)"
     13334,COUSINS PRODUCE GARDEN #3,1943 N 6TH ST,"(44.97232614285714, -89.623274)"
     29017,KEY FOOD #2500 (C),1764 GRAND AVE,"(44.9398209, -93.17524055556757)"
     12432,KEY FOOD #2234 (C),111 W MERRICK RD,"(40.653181599999996, -73.58465874983217)"
     30198,MAKSOUD BROS FOOD CORP,1362 NOSTRAND AVE,"(40.6534317, -73.950171)"
    172895,PUBLIX #895,4849 S MILITARY TRAIL,"(26.6059752, -80.1153616)"
   1915988,WAL-MART #5988,2271 N SEMORAN BLVD,"(28.4599034, -81.3102946)"
   1912406,WAL-MART # 2406,3155 S FEDERAL HWY,"(46.4511522, -88.8871833)"
   1913474,WAL-MART #3474,6225 STATE ROAD 64 E,"(27.49230689795238, -82.48046543739648)"
     29769,WESTERN BEEF #68,425 BAY ST,"(-37.905791, 145.0062214)"
    709010,JETRO CASH & CARRY #10,566 HAMILTON AVE,"(40.667157, -73.997175)"
   1913308,WAL-MART #3308,1580 BRANAN FIELD RD,"(30.10588285, -81.83383470147758)"
     15506,JOES MARKET,201 MAIN ST,"(40.5112124, -86.8353352)"
   1911488,WAL-MART #1488,7001 CONCOURSE PWY,"(33.73258035, -84.75647999030525)"
     70040,JOZEV PRODUCTS,65 DEER PARK DR,"(42.0391258, -72.52318627985186)"
   1913774,WAL-MART #3774 V#251893921,1840 S BLACK HORSE PIKE,"(39.662379, -74.961398)"
    112289,SHOPRITE #289,590 GATEWAY DRIVE,"(40.6549049, -73.8688324)"
   1914354,WAL-MART #4354,5010 AIRPORT PULLING RD,"(26.20664483295822, -81.7682399154329)"
   1721345,PUBLIX #1345,1181 S UNIVERSITY DR,"(26.106544900000003, -80.2516014299502)"
    112191,SHOPRITE #191,865 W GRAND ST,"(40.66380345, -74.23945177921286)"
   1911720,WAL-MART #1720,1550 SCENIC HWY,"(44.32583233328715, -66.27742062804275)"
     14270,MI TIERRA,8102 NORTHERN BLVD,"(41.4674041, -75.6698896)"
     26540,STOP & SHOP #2593,961 E 174TH ST,"(40.8380017, -73.8843576)"
     26645,KEY FOOD #2559 (C),7555 31ST AVE,"(42.56512366280727, -87.84605449057713)"
   1721803,PUBLIX #1803,13001 SW 112TH ST,"(25.6648122, -80.4066932)"
   1912371,WALMART #2371 VEND#251893921,844 N COLONY RD,"(41.47753925, -72.81057247705736)"
   1721558,PUBLIX # 1558,2952 AVENTURA BLVD,"(25.9591918, -80.141396)"
